Player;FSP.1;FSW.1;SSP.1;SSW.1;ACE.1;DBF.1;WNR.1;UFE.1;BPC.1;BPW.1;NPA.1
A Barty;-1,240785611;-6,026310482;-1,731608675;-6,39442778;-7,253368142;-7,376073908;-7,253368142;-7,376073908;-7,62148544;-7,62148544;-7,62148544
A Cornet;-0,749962547;-4,185723993;-2,222431738;-6,149016248;-7,130662376;-6,885250844;-5,290075887;-5,290075887;-6,271722014;-6,885250844;-5,780898951
A Cornet;-1,118079845;-5,290075887;-1,854314441;-5,412781653;-7,62148544;-7,130662376;-6,639839312;-5,167370121;-6,762545078;-7,130662376;-6,885250844
A Cornet;-0,749962547;-2,222431738;-2,222431738;-5,044664355;-6,517133546;-6,39442778;-3,940312462;-2,222431738;-6,885250844;-7,498779674;-5,412781653
A Dulgheru;2,072270069;-3,572195164;-5,044664355;-7,00795661;-7,498779674;-7,376073908;-6,39442778;-4,431135525;-6,885250844;-7,62148544;-6,517133546
A Dulgheru;0,23168358;-1,363491377;-3,204077866;-5,290075887;-7,62148544;-6,39442778;-4,431135525;-2,46784327;-6,517133546;-7,00795661;-5,290075887
A Ivanovic;-0,013727952;-5,535487419;-1,731608675;-6,271722014;-7,376073908;-7,376073908;-5,658193185;-5,535487419;-6,517133546;-6,762545078;-6,762545078
A Ivanovic;0,23168358;-2,835960568;-3,204077866;-6,149016248;-7,376073908;-7,130662376;-5,412781653;-5,044664355;-6,885250844;-7,130662376;-6,885250844
A Ivanovic;-0,872668313;-4,431135525;-2,099725972;-5,412781653;-7,253368142;-6,639839312;-2,590549036;-2,46784327;-6,026310482;-6,762545078;-5,167370121
A Ivanovic;-0,259139483;-2,590549036;-2,713254802;-5,412781653;-6,762545078;-7,00795661;-2,099725972;-1,363491377;-6,271722014;-6,885250844;-3,69490093
A Kerber;0,722506644;-1,854314441;-3,69490093;-6,149016248;-7,130662376;-6,885250844;-3,940312462;-1,486197143;-5,780898951;-6,762545078;-5,290075887
A Kerber;0,722506644;-3,449489398;-3,69490093;-5,903604717;-7,376073908;-7,253368142;-4,185723993;-4,308429759;-5,412781653;-6,762545078;-4,921958589
A Kerber;-1,486197143;-5,658193185;-1,486197143;-5,903604717;-7,62148544;-7,498779674;-6,271722014;-6,885250844;-6,639839312;-7,00795661;-6,885250844
A Kerber;-2,222431738;-5,535487419;-0,749962547;-5,903604717;-7,376073908;-7,253368142;-5,658193185;-6,517133546;-6,271722014;-7,00795661;-6,885250844
A Medina Garrigues;-0,136433717;-3,69490093;-2,835960568;-6,271722014;-7,498779674;-7,376073908;-5,044664355;-4,063018227;-6,026310482;-7,130662376;-5,903604717
A Pavlyuchenkova;-0,872668313;-5,044664355;-2,099725972;-6,271722014;-7,130662376;-7,376073908;-7,130662376;-7,376073908;-7,00795661;-7,130662376;-7,62148544
A Pavlyuchenkova;-1,118079845;-3,940312462;-1,854314441;-6,026310482;-7,130662376;-7,253368142;-3,69490093;-2,590549036;-6,39442778;-7,376073908;-4,063018227
