Player;FSP.1;FSW.1;SSP.1;SSW.1;ACE.1;DBF.1;WNR.1;UFE.1;BPC.1;BPW.1;NPA.1
A Barty;52;13;48;10;3;2;3;2;0;0;
A Cornet;56;28;44;12;4;6;19;19;11;6;15
A Cornet;53;19;47;18;0;4;8;20;7;4;6
A Cornet;56;44;44;21;9;10;30;44;6;1;18
A Dulgheru;79;33;21;5;1;2;10;26;6;0;9
A Dulgheru;64;51;36;19;0;10;26;42;9;5;19
A Ivanovic;62;17;48;11;2;2;16;17;9;7;7
A Ivanovic;64;39;36;12;2;4;18;21;6;4;6
A Ivanovic;55;26;45;18;3;8;41;42;13;7;20
A Ivanovic;60;41;40;18;7;5;45;51;11;6;32
A Kerber;68;47;32;12;4;6;30;50;15;7;19
A Kerber;68;34;32;14;2;3;28;27;18;7;22
A Kerber;50;16;50;14;0;1;11;6;8;5;6
A Kerber;44;17;56;14;2;3;16;9;11;5;6
A Medina Garrigues;61;32;39;11;1;2;21;29;13;4;14
A Pavlyuchenkova;55;21;45;11;4;2;4;2;5;4;
A Pavlyuchenkova;53;30;47;13;4;3;32;41;10;2;29
A Petkovic;74;25;26;3;4;5;21;40;10;1;10
A Riske;69;37;31;14;3;1;17;20;2;2;24
A Riske;70;22;30;6;1;2;12;7;9;5;3
A Riske;62;26;38;11;0;1;18;12;12;4;15
A Tatishvili;63;13;47;4;0;5;8;22;5;2;5
A Tomljanovic;55;13;45;9;0;4;14;39;9;2;15
A Wozniak;48;10;52;4;0;8;10;35;5;3;10
A. Medina Garrigues;57;18;43;7;;0;12;21;4;12;1
A.Beck;72;29;28;14;2;0;14;11;11;6;2
A.Beck;66;23;34;9;0;4;9;27;14;6;3
A.Bedene;60;34;40;16;7;3;19;30;6;0;10
A.Bogomolov Jr.;79;35;21;8;1;4;16;27;0;0;22
A.Cadantu;71;29;29;8;2;3;17;22;8;5;8
A.Cadantu;79;30;21;7;0;3;15;10;6;3;11
A.Cornet;57;36;43;21;4;4;35;30;14;4;22
A.Cornet;64;29;36;14;2;1;20;10;9;4;15
A.Cornet;56;28;44;19;2;5;24;22;8;5;20
A.Dolgopolov;59;76;41;33;15;2;56;34;9;5;53
A.Dolgopolov;64;38;36;19;7;0;38;17;10;5;42
A.Falla;57;41;43;22;1;6;28;42;9;5;30
A.Glatch;54;26;46;8;7;1;17;24;5;2;25
A.Haider-Maurer;56;43;44;18;8;6;35;29;2;2;26
A.Hlavackova;79;25;21;6;2;2;19;26;6;3;14
A.Ivanovic;67;29;33;10;6;0;17;7;5;4;3
A.Ivanovic;51;12;49;10;5;3;18;9;5;2;12
A.Keothavong;62;18;38;11;2;2;10;14;1;0;10
A.Kerber;58;21;42;13;1;0;15;4;10;5;15
A.Kuznetsov;65;34;35;15;3;3;26;22;1;1;21
A.Kuznetsov;61;39;39;11;8;1;39;18;6;0;17
A.Kuznetsov;63;56;37;21;21;3;56;32;16;4;21
A.Mannarino;63;31;37;17;6;0;34;14;13;6;31
A.Mannarino;59;69;41;35;13;3;51;24;5;2;39
A.Mannarino;65;44;35;20;16;2;40;10;12;4;28
A.Medina Garrigues;66;19;34;9;0;0;21;16;6;0;12
A.Montanes;73;59;27;14;7;8;33;28;9;2;11
A.Morita;75;41;25;8;1;4;17;21;4;1;9
A.Murray;69;72;31;23;14;3;36;27;11;5;31
A.Murray;70;60;30;24;20;1;49;15;13;5;36
A.Murray;57;39;43;20;11;2;38;16;10;5;23
A.Murray;63;44;37;20;11;1;41;14;15;4;23
A.Murray;65;44;35;16;9;0;40;14;7;5;28
A.Murray;63;55;37;16;15;4;45;16;10;5;42
A.Murray;64;48;36;16;9;2;36;21;17;7;37
A.Pavlyuchenkova;57;9;43;5;1;4;14;18;1;0;14
A.Petkovic;63;38;37;22;4;2;26;30;16;7;19
A.Petkovic;77;28;23;7;1;0;18;9;6;4;7
A.Radwanska;77;52;23;9;0;5;32;18;16;5;32
A.Radwanska;71;47;29;17;3;5;39;11;12;4;48
A.Radwanska;70;42;30;15;1;0;21;10;14;6;31
A.Radwanska;71;55;29;18;2;1;23;10;18;3;31
A.Radwanska;73;24;27;5;5;1;17;8;8;6;14
A.Radwanska;62;23;38;12;;1;14;7;9;5;14
A.Radwanska;72;26;28;6;3;0;21;13;8;5;
A.Radwanska;75;42;25;12;1;1;13;15;5;3;14
A.Ramos;58;30;42;8;7;4;29;23;6;1;16
A.Riske;72;50;28;10;2;7;39;35;9;6;64
A.Riske;60;15;40;8;1;4;12;9;1;1;9
A.Rus;56;19;44;15;;7;19;48;5;4;9
A.Schmiedlova;65;24;35;7;2;3;7;15;2;0;4
A.Seppi;60;65;40;34;9;1;44;28;12;6;32
A.Seppi;61;84;39;36;13;5;47;49;5;2;26
A.Seppi;59;47;41;18;5;4;36;20;2;0;27
A.Tatishvili;67;31;33;13;0;5;19;22;11;3;14
A.Tomljanovic;59;38;41;22;6;4;35;42;14;2;12
A.Ungur;59;43;41;25;2;5;26;21;2;2;25
Adrian Mannarino;58;52;42;37;3;3;3;3;7;11;
Adrian Mannarino;55;44;45;25;5;1;32;73;5;10;18
Adrian Mannarino;63;71;37;38;5;5;45;80;5;12;28
Adrian Mannarino;57;47;43;30;11;7;;;6;13;
Adrian Mannarino;55;68;45;41;13;3;;;2;6;28
Adrian Mannarino;65;27;35;9;1;0;;;0;1;9
Adrian Ungur;56;18;44;8;1;7;;;1;1;6
Agnieszka Radwanska;67;17;33;9;1;0;13;8;6;14;9
Agnieszka Radwanska;68;17;32;2;2;2;12;24;1;9;4
Agnieszka Radwanska;65;23;35;11;2;1;14;5;5;8;5
Agnieszka Radwanska;65;36;35;16;5;2;25;19;6;9;13
Agnieszka Radwanska;73;34;27;11;2;1;9;15;4;9;4
Agnieszka Radwanska;59;33;41;16;1;1;23;15;6;16;19
Agnieszka Radwanska;59;36;41;15;9;1;38;31;7;11;22
Agnieszka Radwanska;66;28;34;8;1;1;18;13;5;8;11
Agnieszka Radwanska;57;21;43;15;1;1;18;5;5;9;9
Agnieszka Radwanska;70;28;30;5;2;2;27;27;5;11;20
Agnieszka Radwanska;61;26;39;16;1;0;10;17;3;6;9
Ajla Tomljanovic;54;35;46;22;3;6;25;44;3;6;8
Ajla Tomljanovic;49;36;51;25;5;6;5;6;3;6;
Albano Olivetti;56;37;44;15;18;8;;;0;1;
Albert Montanes;60;23;40;9;1;4;1;4;0;0;
Albert Montanes;65;59;35;21;5;4;38;20;6;19;11
Albert Montanes;67;28;33;9;3;1;28;36;2;3;10
Albert Montanes;51;29;49;20;4;8;;;0;0;
Albert Ramos;61;32;39;10;2;3;2;3;3;7;
Albert Ramos;61;41;39;25;5;1;22;17;1;6;10
Albert Ramos;55;76;45;42;9;9;;;4;15;26
Alejandro Falla;60;50;40;23;4;2;4;2;10;28;
Alejandro Falla;60;56;40;25;1;3;26;37;2;7;24
Alejandro Falla;54;10;46;7;1;1;6;15;1;5;5
Alejandro Gonzalez;68;34;32;7;2;4;22;41;5;7;11
Aleksandr Nedovyesov;61;37;39;17;8;2;22;37;0;2;11
Alex Bogomolov Jr.;64;82;36;33;2;6;;;5;12;21
Alex Bogomolov Jr.;69;87;31;30;8;9;;;6;14;24
Alex Bogomolov Jr.;54;26;46;13;0;11;11;46;2;6;8
Alex Kuznetsov;63;33;37;13;5;3;34;49;1;6;19
Alexandr Dolgopolov;71;81;29;22;15;2;43;36;4;12;19
Alexandr Dolgopolov;58;42;42;23;7;4;37;31;5;16;12
Alexandr Dolgopolov;55;51;45;22;14;2;44;50;3;7;8
Alexandr Dolgopolov;45;34;55;27;6;4;;;6;21;
Alexandr Dolgopolov;53;35;47;19;10;4;;;2;9;
Alexandra Cadantu;58;14;42;9;1;8;13;36;1;3;5
Alexandra Cadantu;72;28;28;9;;5;21;17;3;8;5
Alison Riske;64;24;36;8;4;3;15;16;4;8;5
Alison Riske;78;27;22;6;4;2;15;8;5;10;2
Alison Riske;62;16;38;8;0;6;18;29;4;5;8
Alison Van Uytvanck;54;32;46;15;5;4;22;40;2;7;4
Alize Cornet;75;3;25;1;1;;2;0;;;1
Alize Cornet;65;24;35;9;;5;11;23;4;6;7
Alize Cornet;70;28;30;11;;3;16;19;6;9;7
Alize Cornet;59;39;41;17;1;9;5;29;6;13;2
Alize Cornet;74;24;26;10;2;1;22;18;5;10;9
Alize Cornet;65;28;35;10;3;3;28;32;6;16;7
Aljaz Bedene;52;41;48;19;13;8;;;2;9;
Aljaz Bedene;54;40;46;9;16;11;28;52;4;5;6
Aljaz Bedene;62;26;38;12;4;4;15;35;1;4;9
Alla Kudryavtseva;58;37;42;14;3;4;3;4;6;10;
Alla Kudryavtseva;63;25;37;8;4;2;23;24;1;2;11
Ana Ivanovic;60;24;40;9;3;4;14;22;8;9;4
Ana Ivanovic;54;16;46;13;2;2;16;17;6;7;0
Ana Ivanovic;58;47;42;23;6;3;46;40;4;9;16
Ana Ivanovic;53;31;47;21;1;2;33;27;4;14;10
Ana Ivanovic;56;34;44;23;1;4;34;35;5;12;12
Ana Ivanovic;54;37;46;24;3;3;27;36;4;10;6
Ana Ivanovic;55;20;45;10;;1;18;10;5;8;2
Ana Ivanovic;73;32;27;8;5;3;23;21;4;10;2
Ana Ivanovic;50;19;50;15;1;9;29;33;2;5;8
Ana Konjuh;50;13;50;9;0;5;7;25;0;1;3
